Name
Memoirs of the Life, Public and Private Adventures of Madame Vestris. George Colman, John Duncombe, 1826.
Personal Reminiscences of Henry Irving. Bram Stoker, Macmillan 1906.
The Theatre of Suzuki Tadashi (Directors in Perspective). Ian Carruthers and Takahashi Yasunari, Cambridge University Press, 2004.
Margaret Webster: A Life in the Theater. Milly S. Barranger, University of Michigan Press, 2004.
So You Want to Be a Theatre Director? Stephen Unwin, Nick Hern Books, 2004.
Artaud, the Screaming Body, Films, Drawings and Recordings. Stephen Barber, Creation Books, 2005.
Antonin Artaud’s Writing Bodies. Adrian Morfee, Oxford University Press, 2005.
A Dictionary of Theatre Anthropology: The Secret Art of the Performer, 2nd ed. Eugenio Barba and Nicola Savarese, tran. Richard Fowler, Routledge, 2005.
Eugenio Barba (Routledge Performance Practitioners). Jane Turner, Routledge, 2005.
Eugenio Barba (Routledge Performance Practitioners). Jane Turner, Routledge, 2005.
The Viewpoints Book: A Practical Guide to Viewpoints and Composition. Anne Bogart, Tina Landau, TCG, 2005.
Peter Brook: A Biography. Michael Kustow, St. Martin’s, 2005.
Bad Boy Nietzsche! And Other Plays. Richard Foreman, TCG, 2005.
Sir Henry Irving: A Victorian Actor and His World. Jeffrey Richards, Continuum, 2005.
Tadeusz Kantor: Interior of Imagination. Jaroslaw Suchan and Marek Swica, editors, Zacheta Narodowa Galeria Sztuki, 2005
Elia Kazan: A Biography. Richard Schickel, Harper Collins, 2005.
The Wooster Group and Its Traditions. Johan Callens, Peter Lang International Academic Publishers, 2005.
How to Stage a Play, Make a Fortune, Win a Tony and Become a Theatrical Icon. Charles Marowitz, Limelight, 2005.
Olivier. Terry Coleman, Henry Holt, 2005.
Jerome Robbins (Library of American Choreographers). Brian Seibert, Rosen Publishing, 2005.
George Tsypin Opera Factory: Building in the Black Void. George Tsypin & Julie Taymor, Princeton Architectural Press, 2005
The Medium and the Magician: Orson Welles, The Radio Years, 1934-1952. Paul Heyer, Rowman & Littlefield, 2005.
Despite the System: Orson Welles Versus the Hollywood Studios. Richard Heylin, Chicago Review Press, 2005.
Directing for Theater: A Personal Approach. Edgardo Bengson De La Cruz, University of the Philippines Press, 2005.
The Lindsay Anderson Diaries. Paul Sutton, A&C Black, 2006.
Ingmar Bergman: A Reference Guide. Birgitta Steene, Amsterdam University Press, 2006.
The Aesthetics of the Oppressed. Augusto Boal, trans. Adrian Jackson, Routledge, 2006.
Remaking American Theater: Charles Mee, Anne Bogart and the SITI Company. Scott T. Cummings, Cambridge University Press, 2006.
Peter Brook (Routledge Performance Practitioners). Lorna Marshall, Routledge, 2006.
Jacques Copeau (Routledge Performance Practitioners). Mark Evans, Routledge, 2006.
Moss Hart: A Prince of the Theater. Jared Brown, Back Stage Books, 2006.
Joan Littlewood (Routledge Performance Practitioners). Nadine Holdsworth, Routledge, 2006.
Theatre Workshop: Joan Littlewood and the Making of Modern British Theatre. Robert Leach, University of Exeter Press, 2006
Creating Life on Stage: A Director’s Approach to Working with Actors. Marshall W. Mason, Heinemann, 2006.
Creating the “New Musical”: Harold Prince in Berlin. Armin Geraths, editor, Peter Lang, 2006.
Somewhere: The Life of Jerome Robbins. Amanda Vaill, Broadway, 2006.
Taking Stock: The Theatre of Max Stafford-Clark. Philip Roberts and Max Stafford-Clark, Nick Hern, 2006.
At Play: Teaching Teenagers Theater. Elizabeth Swados, Faber & Faber, 2006.
Orson Welles, Volume 2: Hello Americans. Simon Callow, Viking, 2006.
Whatever Happened to Orson Welles? A Portrait of an Independent Career. Joseph McBride, University Press of Kentucky, 2006
Creating Life on Stage: A Director’s Approach to Working with Actors. Marshall W. Mason, Heinemann, 2006.
Ingmar Bergman: Interviews. Raphael Shargel, ed., University Press of Mississippi, 2007.
Ingmar Bergman, Cinematic Philosopher: Reflections on His Creativity. Irving Singer, The MIT Press, 2007.
Roger Blin: Collaborations and Methodologies (Stage and Screen Studies). Mark Taylor-Batty, Peter Lang, 2007.
And Then You Act: Making Art in an Unpredictable World. Anne Bogart, Routledge, 2007.
Master Classes in the Michael Chekhov Technique. The Michael Chekhov Association, Routledge, 2007. (DVD)
Jacques Copeau’s Friends and Disciples: The Théâtre du Vieux-Colombier in New York 1917-1919. Thomas John Donahue, Peter Lang Publishers, 2007.
Coward. Noel Coward, Methuen, 2007. (Incorporates 3 volumes of autobiography: Present Indicative (1937), Future Indefinite (1954), and Past Conditional (1986).)
Harley Granville-Barker Reclaimed. Harley Granville-Barker, edited by Jonathan Bank, Mint Theater, 2007.
Jerzy Grotowski (Routledge Performance Practictioners). James Slowiak & Jairo Cuesta, Routledge, 2007.
The Theatricality of Robert Lepage. Aleksandar Dundjerovic, McGill-Queen’s University Press, 2007.
Ariane Mnouchkine (Routledge Performance Practicioners). Judith G. Miller, Routledge, 2007.
Lord Larry: A Personal Portrait of Laurence Olivier. Michael Munn, Anova Books, 2007.
Acting on Impulse: Reclaiming the Stanislavski Approach – A Practical Handbook for Actors. John Gillett, Bloomsbury Methuen, 2007
Orson Welles Remembered: Interviews with His Actors, Editors, Cinematographers and Magicians. Peter Prescott Tonguette, McFarland, 2007.
Robert Wilson (Routledge Performance Practitioners). Maria Shevtsova, Routledge, 2007.
Directing for Stage and Screen. Jack R. Stanley & Marian F. Monta, Palgrave Macmillan, 2007.
Antonin Artaud: Terminal Curses, The Notebooks 1945-1948. Stephen Barber, Solar Books, 2008.
Necessary Cruelty: A Brief Examination of the Dramatic Principles of Antonin Artaud. Mitchell Tribbett, VDM Verlag, 2008.
Pina Bausch: Dance Theatre. Norbert Servos, tr. Stephen Morris, K. Kieser Verlag, 2008.
The Ingmar Bergman Archives. Paul Duncan, editor. Taschen America, 2008.
Ingmar Bergman Revisited: Performance, Cinema and the Arts. Maaret Koskinen, ed., Wallflower Press, 2008.
Bertolt Brecht (Routledge Performance Practitioners). Meg Mumford, Routledge, 2008.
The Fosse Style. Debra McWaters, University Press of Florida, 2008.
Heart of Practice: Within the Workcenter of Jerzy Grotowski and Thomas Richards. Thomas Richards, Routledge, 2008.
The Haunted Screen: Expressionism in the German Cinema and the Influence of Max Reinhardt. Lotte H. Eisner, tr. by Roger Greaves, University of California Press, 2008 (2nd revised edition).
Theatre: The Rediscovery of Style and Other Writings (Routledge Theatre Classics). Michel Saint-Denis, edited by Jane Baldwin, Routledge, 2008.
An Actor’s Work: A Student’s Diary. Konstantin Stanislavski, trans. Jean Benedetti, Routledge, 2008.
Making Movies with Orson Welles. Gary Graver & Andrew J. Rausch, Scarecrow Press, 2008.
Orson Welles at Work. François Thomas & JeanpPiere Berthomé, Phaidon Press, 2008.
Different Every Night: Putting the Play on Stage and Keeping It Fresh. Mike Alfreds, Nick Hern Books, 2008.
The Director’s Craft: A Handbook for the Theatre. Katie Mitchell, Routledge, 2008.
American Women Stage Directors of the Twentieth Century. Anne Fliotsos, University of Illinois Press, 2008.
On Directing and Dramaturgy: Burning the House. Eugenio Barba, Routledge, 2009.
Pina Bausch (Routledge Performance Practitioners). Royd Climenhaga, Routledge, 2009.
Ingmar Bergman: The Life and Films of the Last Great European Director. Geoffrey Macnab, I.B. Tauris, 2009.
Walter Benjamin and Bertolt Brecht: The Story of a Friendship. Edmut Wizisla (tr. Christine Shuttleworth), Yale University Press, 2009.
The Michael Chekhov Handbook: For the Actor. Lenard Petit Routledge, 2009.
The Letters of Noel Coward. Noel Coward, edited by Barry Day, Vintage, 2009.
Grotowski’s Empty Room. Paul Allain, ed., Seagull Books, 2009.
Peter Hall’s Bacchai (National Theatre at Work). Jonathan Croall, Oberon Books, 2009.
A Strange, Eventful History: The Dramatic Lives of Ellen Terry, Henry Irving, and Their Remarkable Families. Michael Holroyd, Farrar, Straus and Giroux, 2009.
Further On, Nothing: Tadeusz Kantor’s Theatre. Michal Kobialka, University of Minnesota Press, 2009.
Tadeusz Kantor. Stefan Zweifel, JRP/Ringier, 2009.
Elia Kazan: The Cinema of an American Outsider. Brian Neve, I.B. Tauris, 2009.
Mainly on Directing: Gypsy, West Side Story and Other Musicals. Arthur Laurents, Knopf, 2009.
Robert Lepage (Routledge Performance Practitioners). Aleksandar Dundjerovic, Routledge, 2009.
Free for All: Joe Papp, The Public, and the Greatest Theater Story Ever Told. Kenneth Turan and Joseph Papp, Doubleday, 2009
An Actor’s Work on a Role. Konstantin Stanislavski, trans. Jean Beneditti, Routledge, 2009.
The Reemergence of Mythology, Fantasy and Fable Examined in the Works of Mary Zimmerman, Robert Wilson and Julie Taymor. Sabrina Stewart, VDM Verlag, 2009.
In My Father’s Shadow: A Daughter Remembers Orson Welles. Chris Welles Feder, Algonquin Books, 2009.
The Reemergence of Mythology, Fantasy and Fable Examined in the Works of Mary Zimmerman, Robert Wilson and Julie Taymor. Sabrina Stewart, VDM Verlag, 2009.
The Reemergence of Mythology, Fantasy and Fable Examined in the Works of Mary Zimmerman, Robert Wilson and Julie Taymor. Sabrina Stewart, VDM Verlag, 2009.
Fundamentals of Play Directing. Alexander Dean, Holt, Rinehart & Co.,  Lawrence Carra. 5th edition, Waveland Press, 2009,
Play Directing: Analysis, Communication, and Style. Francis Hodge, 7th edition, with Michael McLain, Allyn & Bacon, 2009
Directors/Directing: Conversations on Theatre. Maria Shevtsova and Christopher Innes, Cambridge University Press,
Alan Ayckbourn in Chekhov’s Footsteps: A Study of Chekhovian Character Traits in Ayckbourn Drama. Mustafa Kirca, Ibidem-Verlag 2010
Buzz: The Life and Art of Busby Berkeley. Jeffrey Spivak, University Press of Kentucky, 2010.
Joseph Chaikin and the Winter Project: Ways of Working. Roger Babb, Lambert Academic Publishing, 2010.
The Noel Coward Reader. Noel Coward, edited by Barry Day, Knopf, 2010.
Zygmunt Molik’s Voice and Body Work: The Legacy of Jerzy Grotowski. Giuliano Campo and Zygmunt Molik, Routledge, 2010
Tadeusz Kantor (Routledge Performance Practitioners). Noel Witts, Routledge, 2010.
Kazan on Directing. Elia Kazan, Vintage, 2010.
The Lee Strasberg Notes. Lola Cohen, editor, Routledge, 2010.
Franco Zeffirelli: Complete Works – Thatre, Opera, Film. Caterina Napoleone, Abrams, 2010.
Theatre Craft: A Director’s Practical Companion from A-Z. John Caird, Faber & Faber, 2010.
Stage Money: The Business of the Professional Theater. Tim Donahue & Jim Patterson, University of South Carolina Press, 2010
Masters of Cinema: Ingmar Bergman. Jacques Mandelbaum, Phaidon Press, 2011.
“Come Closer”: Critical Perspectives on Theatre of the Oppressed. Toby Emert & Ellie Friedland, eds., Peter Lang, 2011.
Words into Action: Finding the Life of the Play. William Gaskill, Nick Hern, 2011.
John Gielgud: Matinee Idol to Movie Star. Jonathan Croall, Methuen, 2011.
Goethe’s Faust: Theatre of Modernity. Hans Schulte, John Noyes, and Pia Kleber, editors, Cambridge University Press, 2011
Kantor Was Here: Tadeusz Kantor in Great Britain. Katarzyna Murawska-Muthesius and Natalia Zarzecka, editors, Black Dog, 2011.
Joan Littlewood’s Theatre (Cambridge Studies in Modern Theatre). Nadine Holdsworth, Cambridge University Press, 2011.
Catching the Light: Sam Mendes and Simon Russell Beale, a Working Partnership. Oberon Books, 2011.
Damn You, Scarlett O’Hara: The Private Lives of Vivien Leigh and Laurence Olivier. Darwin Porter and Roy Moseley, Blood Moon, 2011.
The Rise of Performance Studies: Rethinking Richard Schechner’s Broad Spectrum. James Harding and Cindy Rosenthal, editors, Palgrave Macmillan, 2011.
Being a Director: A Life in Theatre. Di Trevis, Routledge, 2011.
The Vakhtangov Sourcebook. Andrei Malaev-Babel, editor, Routledge, 2011.
The Martians are Coming! The True Story of Orson Welles’ 1938 Panic Broadcast. Alan Gallop, Amberley, 2011.
Robert Wilson: From Within. Margery Arent Safir, Flammarion, 2011.
Communication in Theatre Directing and Performance: From Rehearsal to Production. Jennifer Lanipekun, Cambria Press, 2011.
Words into Action: Finding the Life of the Play. William Gaskill, Nick Hern, 2011.
Being a Director: A Life in Theatre. Di Trevis, Routledge, 2011.
Working in American Theatre: A Brief History, Career Guide and Resource Book for Over 1000 Theatres. Jim Volz, Methuen, 2011
Lena Ashwell: Actress, Patriot, Pioneer. Margaret Leask, University of Hertfordshire Press, 2012.
The Pina Bausch Sourcebook: The Making of Tanztheater. Royd Climenhaga, Routledge, 2012.
InExActArt – The Autopoietic Theatre of August Boal: A Handbook of Theatre of the Oppressed Practice. Birgit Fritz, ibidem Press, 2012.
Conversations with Anne: Twenty-Two Interviews. Anne Bogart, TCG, 2012.
Dion Boucicault: Irish Identity on Stage. Deirdre McFeely, Cambridge University Press, 2012.
The Complete Verse of Noel Coward. Noel Coward, ed. Barry Day, Methuen, 2012.
The Unwritten Grotowski: Theory and Practice of the Encounter. Kris Salata, Routledge, 2012.
Tyrone Guthrie (Directors in Perspective). Ronald Bryden, Cambridge University Press, 2012.
The Rest of the Story: A Life Completed. Arthur Laurents, Applause, 2012.
Meyerhold, Eisenstein and Biomechanics: Actor Training in Revolutionary Russia. Alma Law and Mel Gordon, McFarland, 2012 (reprint).
The Changing Face of American Theatre: Colorblind and Uni-racial Casting at the New York Shakespeare Festival Under the Direction of Joseph Papp. Charlene Widener, AV Akademikerverlag, 2012.
The Cage: Dancing for Jerome Robbins and George Balanchine, 1949-1954. Barbara Bocher and Adam Darius, CreateSpace, 2012.
Yevgeny Vakhtangov: A Critical Portrait. Andrei Malaev-Babel, Routledge, 2012.
Direction: Readings in Theater Practice.
How to Direct a Play: A Masterclass in Comedy, Tragedy, Farce, Shakespeare, New Plays, Opera and Musicals. Braham Murray, Oberon, 2012.
Directing Plays, Directing People. Mary B. Robinson, Smith & Kraus, 2012.
Conversations with Anne: Twenty-Two Interviews. Anne Bogart, TCG, 2012.
The Director’s Voice, Twenty Interviews, Vol. 2. Jason Loewith, TCG, 2012.
Theater Careers: A Realistic Guide. Tim Donahue & Jim Patterson, University of South Carolina Press, 2012.
The Anatomy of Cruelty: Antonin Artaud, Life and Works. Stephen Barber, Sun Vision Press, 2013.
The Living Theatre. Alex M. Goldblum, ed., CreateSpace, 2013.
The Quality of Mercy: Reflections on Shakespeare. Peter Brook, Nick Hern Books, 2013.
Speaking of Noel Coward: Interviews by Alan Farley. Ron Lazar, ed., AuthorHouse, 2013.
Being George Devine’s Daughter. Harriet Devine, Barkus Books, 2013.
Manifestos and Essays. Richard Foreman, TCG, 2013.
Fosse. Sam Wasson, Houghton Mifflin Harcourt, 2013.
David Garrick and the Development of English Comedy: A Study of Adaptation on the Eighteenth-Century Stage. Alan Swanson, Edwin Mellin Press, 2013.
Gielgoodies!: The Wit and Wisdom of John Gielgud. Jonathan Croall, Oberon, 2013.
Jerzy Grotowski’s Journeys to the East. Zbigniew Osinski, Routledge Icarus, 2013.
Teaching the Actor Craft. Jon Jory, Smith & Kraus, 2013.
Making the Fall: An Intimate Account of Elia Kazan and Arthur Miller Working Together on “After the Fall.” Richard D. Meyer, CreateSpace, 2013.
“On My Way”: The Untold Story of Rouben Mamoulian, George Gershwin, and Porgy and Bess. Joseph Horowitz, Norton, 2013
In Two Minds: Jonathan Miller, a Biography. Kate Bassett, Oberon, 2013.
Giorgio Strehler Directors Carlo Goldoni. Scott Malia, Lexington Books, 2013.
My Lunches with Orson: Conversations Between Henry Jaglom and Orson Welles. Peter Biskind, Metropolitan, 2013.
Orson Welles and Roger Hill: A Friendship in Three Acts. Todd Tarbox, BearManor Media, 2013.
Directors: From Stage to Screen and Back Again. Susan Beth Lehman, Intellect Ltd., 2013.
The Cambridge Introduction to Theatre Directing. Christopher Innes and Maria Shevtsova, Cambridge University Press, 2013
Antonin Artaud: The Scum of the Soul. Ros Murray, Palgrave Macmillan, 2014.
Alan Ayckbourn. Michael Holt, University Press of Mississippi, 1997. (2nd edition, Northcote House, 2014.)
Inheriting Dance: An Invitation from Pina. Marc Wagenbach, ed., Transcript Verlag, 2014.
What’s the Story: Essays About Art, Theater and Storytelling. Anne Bogart, Routledge, 2014.
Bertolt Brecht. Philip Glahn, Reaktion Books, 2014.
Bertolt Brecht: A Literary Life. Stephen Parker, Bloomsbury Methuen, 2014.
The National Theatre Story. Daniel Rosenthal, Oberon Books, 2014.
Tadeusz Kantor Today: Metamorphoses of Death, Memory and Presence. Katarzyna Fazan, Anna Roza Burzynska & Marta Brys, eds. (tr. Anda McBride), Peter Lang, 2014.
The Selected Letters of Elia Kazan. Albert J. Devlin, ed., Knopf, 2014.
The Visual Laboratory of Robert Lepage. Ludovic Fouquet (tr. Rhonda Mullins), Talonbooks, 2014.
Bernstein Meets Broadway: Collaborative Art in a Tie of War. Carol J. Oja, Oxford University Press, 2014.
Joan Littlewood: Dreams and Realities. Peter Rankin, Oberon Books, 2015.
Samuel Beckett’s Theatre in America: The Legacy of Alan Schneider as Beckett’s American Director. Natka Bianchini, Palgrave Macmillan, 2015.
